,molecule_name,potential_energy
0,dsgdb9nsd_000001,-40.5236795
1,dsgdb9nsd_000002,-56.5602457
2,dsgdb9nsd_000003,-76.4260771
3,dsgdb9nsd_000004,-77.3352681
4,dsgdb9nsd_000005,-93.4284884
5,dsgdb9nsd_000006,-114.5102162
6,dsgdb9nsd_000007,-79.8386938
7,dsgdb9nsd_000008,-115.7303438
8,dsgdb9nsd_000009,-116.6649595
9,dsgdb9nsd_000010,-132.7634357
10,dsgdb9nsd_000011,-153.8429678
11,dsgdb9nsd_000012,-169.9060673
12,dsgdb9nsd_000013,-119.1556568
13,dsgdb9nsd_000014,-155.0524855
14,dsgdb9nsd_000015,-155.0398957
15,dsgdb9nsd_000016,-117.9060288
16,dsgdb9nsd_000017,-153.7998503
17,dsgdb9nsd_000018,-193.1717225
18,dsgdb9nsd_000019,-209.2324942
19,dsgdb9nsd_000020,-225.285285
20,dsgdb9nsd_000021,-158.4734923
21,dsgdb9nsd_000022,-194.3749054
22,dsgdb9nsd_000023,-153.4972003
23,dsgdb9nsd_000024,-169.5850169
24,dsgdb9nsd_000026,-190.6618386
25,dsgdb9nsd_000027,-206.7483974
26,dsgdb9nsd_000028,-227.8357278
27,dsgdb9nsd_000029,-155.9928402
28,dsgdb9nsd_000030,-155.9816834
29,dsgdb9nsd_000031,-172.0803311
30,dsgdb9nsd_000032,-188.1053713
31,dsgdb9nsd_000033,-191.8715479
32,dsgdb9nsd_000034,-207.9670482
33,dsgdb9nsd_000035,-193.1593764
34,dsgdb9nsd_000036,-209.2190743
35,dsgdb9nsd_000037,-229.0751214
36,dsgdb9nsd_000038,-229.0531215
37,dsgdb9nsd_000039,-158.4726513
38,dsgdb9nsd_000040,-194.3693305
39,dsgdb9nsd_000041,-194.3620211
40,dsgdb9nsd_000042,-230.2682478
41,dsgdb9nsd_000043,-157.2260191
42,dsgdb9nsd_000044,-193.1248781
43,dsgdb9nsd_000045,-173.2454524
44,dsgdb9nsd_000046,-193.1200934
45,dsgdb9nsd_000047,-157.2259975
46,dsgdb9nsd_000048,-193.1207695
47,dsgdb9nsd_000049,-248.4757496
48,dsgdb9nsd_000050,-210.1842222
49,dsgdb9nsd_000051,-226.231987
50,dsgdb9nsd_000052,-230.0390115
51,dsgdb9nsd_000053,-246.0877431
